roles,companies,locations,experience,skills
Data Scientist III,EY,Bengaluru,4-9 Yrs,"networking
coding
troubleshooting
information technology
distribution system
analytics
monitoring
sql"
Data Scientist: AI/ML Engineer,EY,Kochi,5-7 Yrs,"multithreading
rest
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist: AI/ML Engineer,EY,Kochi,3-6 Yrs,"docker
multithreading
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Data Scientist: AI/ML Engineer,EY,Kochi,7-9 Yrs,"multithreading
rest
python
data analytics
asynchronous apex
kubernetes
openshift
redhat linux"
Battery Data Scientist,EY,Bengaluru,3-5 Yrs,"c++
simulation
coding
thermal
perl
simulink
troubleshooting
matlab"
Battery Data Scientist,Fluenc,Bengaluru,3-5 Yrs,"c++
simulation
coding
thermal
perl
simulink
troubleshooting
matlab"
Data Scientist,Fluenc,Hybrid - Bengaluru,7-12 Yrs,"data science
agile software
python
data engineering
data pipeline
api management
azure hdinsight
ci/cd"
Data Scientist,Fluenc,Bengaluru,3-7 Yrs,"computer science
statistical analysis
machine learning
hadoop
mathematics
statistics
python
analysis"
Data Scientist I B - GBS IND,Fluenc,Hyderabad,2-8 Yrs,"data analysis
software design
consulting
oracle
risk management
jira
software implementation
sql"
Urgent requirement For Data scientist @MNC Pune,Fluenc,Pune,4-8 Yrs,"data science
machine learning
python
r
naive bayes
decision forests
k-nearest neighbors
statistical modeling"
Data Scientist,Fluenc,Bengaluru,4-8 Yrs,"natural language processing
machine learning
predictive modeling
artificial intelligence
neural networks
deep learning
data science
pattern recognition"
Data Scientist,Fluenc,Remote,0-5 Yrs,"machine learning
natural language processing
computer vision
machine
process
data
computer
processing"
Data Scientist: Artificial Intelligence,Fluenc,Pune,5-7 Yrs,"python
data analytics
cloud technologies
tableau
ml
hive
algorithms
data analysis"
Data Scientist,Fluenc,Pune,2-6 Yrs,"text mining
deep learning
advanced analytics
data analysis
machine learning
manager technology
information retrieval
research"
Data Scientist,Fluenc,Gurugram,3-6 Yrs,"data science
data visualization
data analytics
analytics
data
science"
Data Scientist,Fluenc,Chennai,5-8 Yrs,"data management
information security
strategic planning
project planning
data quality
data mining
continuous improvement
analytics"
Data Scientist,Fluenc,Nagpur,6-10 Yrs,"artificial intelligence
ml
python
intelligence
data"
Lead Data Scientist - Advanced Machine Learning,Fluenc,Bengaluru,5-9 Yrs,"supply chain
business process
data analysis
machine learning
network security
data structures
troubleshooting
sql"
Data Scientist,Fluenc,Kolkata,6-12 Yrs,"c++
data science
analytical
machine learning
hadoop
microsoft
business intelligence
forecasting"
Data Scientist,Fluenc,Hyderabad,4-9 Yrs,"natural language processing
machine learning
deep learning
python
sql
machine
process
languages"
Data Scientist,Fluenc,Mumbai(Andheri East),2-7 Yrs,"data science
machine learning
python
predictive modeling
r
logistic regression
natural language processing
pandas"
"Immediate Requirement For Data Scientist,Noida",Fluenc,"Noida, Delhi / NCR",4-7 Yrs,"data science
ai/ml
generative ai
python
sql
artificial intelligence
requirements
data"
Data Scientist,Fluenc,Saudi Arabia,8-13 Yrs,"data science
tensorflow
nlp
pytorch
architecture design
natural language processing
ai
statistical modeling"
Data Scientist,Fluenc,Bengaluru,2-7 Yrs,"deep learning frameworks
python
forecasting
time series
model development
arima
algorithms
natural language processing"
Data Scientist,Fluenc,Bengaluru,4-5 Yrs,"computer vision
gcp
analytical
consulting
machine learning
debugging
product design
natural language processing"
Data Scientist,Tata Technologies,"Pune, Bengaluru",4-6 Yrs,"tensorflow
pytorch
keras
data"
Full Stack Data Scientist,Tata Technologies,"Hyderabad/Secunderabad(Jubilee Hills), Chennai",0-5 Yrs,"linux
python
data engineering
artificial intelligence
natural language processing
machine learning
deep learning
full stack"
Group Audit - Data Scientist,Tata Technologies,Mumbai,0-1 Yrs,"python
data analytics
confluence
data analysis
natural language processing
scikit-learn
openshift
jupyter notebook"
Lead Data Scientist - Marketing Analytics,Tata Technologies,Gurugram,6-10 Yrs,"data science
campaign analytics
statistical data analysis
marketing analytics
model development
banking analytics
customer analytics
python"
Data Scientist,Tata Technologies,Hyderabad,5-6 Yrs,"machine learning
python
data science
natural language processing
science
process
machine
languages"
Data Scientist,Tata Technologies,"Hybrid - Hyderabad, Pune, Bengaluru",6-11 Yrs,"natural language processing
gen ai
azure
machine laerning
llm
deep learning
process
artificial intelligence"
Data Scientist,Tata Technologies,Bengaluru,12-16 Yrs,"c++
microservices
java
python
distribution system
continuous integration
css
golang"
Data Scientist,Tata Technologies,Bengaluru,6-10 Yrs,"python
ibm cloud
microsoft azure
microservices
aws
advance sql
data analysis
data analytics"
Data Scientist,Tata Technologies,Bengaluru,6-8 Yrs,"software development
artificial intelligence
sql
tensorflow
machine learning algorithms
continuous integration
algorithms
python"
Data Scientist- Gen AI,Tata Technologies,"Hyderabad, Bengaluru",5-10 Yrs,"gen ai
python
nlp
machine learning
deep learning
gen
artificial intelligence
natural language processing"
NLP Data Scientist,Tata Technologies,Pune,1-8 Yrs,"business consulting
prototype
cgi
artificial intelligence
machine learning
agile
information retrieval
open source"
Data Scientist,Tata Technologies,"Hybrid - Noida, Gurugram, Bengaluru",3-5 Yrs,"model development
ml
ds
development
data"
MNC/Data scientist BAG,Tata Technologies,Bengaluru,4-9 Yrs,"data science
predictive modeling
machine learning
model development
sql
deep learning
modeling
machine"
Data Scientist,Tata Technologies,"Hybrid - Gurugram, Bengaluru",3-8 Yrs,"data science
mlops
model development
python
sql
data
science
development"
Data Scientist,Tata Technologies,Bengaluru,3-5 Yrs,"supply chain
computer science
advanced analytics
operations research
data science
analytical
machine learning
agile"
Data Scientist,Tata Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"data analysis
github
statistical analysis
data manipulation
machine learning
data collection
data integrity
sql"
Data Scientist,Tata Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"c++
neural networks
analytical
machine learning
data collection
data visualization
data mining
sql"
Data Scientist,Tata Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,"computer science
c++
neural networks
analytical
machine learning
data collection
data visualization
data mining"
Data Scientist - Generative AI,Tata Technologies,Bengaluru,7-12 Yrs,"data science
generative ai
machine learning
python
gen ai
data scientist
deep learning
machine"
Data Scientist,Tata Technologies,Hybrid - Bengaluru,1-4 Yrs,"time series analysis
python
random forest
analysis
time series
data
forest
time"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,2-4 Yrs,"mining
product management
data analysis
wealth management
analytical
data collection
asset management
monitoring"
Data Scientist,Franklin templeton asset management (india)pvt,"Kolkata, Bengaluru",6-8 Yrs,"data science
predictive modeling
azure
gcp
data scientist
hadoop
spark
python programming"
Data Scientist,Franklin templeton asset management (india)pvt,Pune,5-10 Yrs,"python
supply chain
mathematics
r
statistics
algorithms
data mining
microsoft azure"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,3-7 Yrs,"supply chain
computer science
advanced analytics
operations research
data science
analytical
machine learning
agile"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,2-3 Yrs,"deep learning
automation
data science
stock exchange
machine learning
data mining
analytics
python"
Data Scientist,Franklin templeton asset management (india)pvt,"Hybrid - Noida, Hyderabad, Bengaluru",4-6 Yrs,"customer analytics
python
sql
marketing analytics
crm
marketing
data
analytics"
Data Scientist,Franklin templeton asset management (india)pvt,Pune,6-11 Yrs,"data science
aws
tensorflow
keras
machine learning
deep learning
machine
data"
Data Scientist,Franklin templeton asset management (india)pvt,"Hyderabad, Bengaluru",5-7 Yrs,"machine learning
data science
tensorflow
pyspark
artificial intelligence
natural language processing
neural networks
deep learning"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,3-7 Yrs,"natural language processing
machine learning
python
machine
process
data
processing
languages"
Data Scientist,Franklin templeton asset management (india)pvt,"Chennai, Bengaluru",2-5 Yrs,"machine learning
gen ai
mlops
pytorch
reinforcement learning
deep learning
tensorflow
reinforcement"
Data Scientist,Franklin templeton asset management (india)pvt,Gurugram,4-7 Yrs,"computer vision
deep learning
simulation
data science
neural networks
machine learning
hypothesis testing
telematics"
Data Scientist,Franklin templeton asset management (india)pvt,Remote,7-10 Yrs,"deep learning frameworks
data scientist
interpretention
machine learning
data science
pytorch
power bi
real time data processing"
Data Scientist,Franklin templeton asset management (india)pvt,"Hyderabad, Bengaluru",4-9 Yrs,"python
pytorch
cft
ml engineering
sklearn
terraform
pandas
machine learning systems"
Data Scientist-FinOps,Franklin templeton asset management (india)pvt,Bengaluru,5-7 Yrs,"orchestration
gcp
analytical
data quality
continuous improvement
business intelligence
operations
analytics"
Vision Language Data Scientist,Franklin templeton asset management (india)pvt,"Mumbai, Pune, Chennai, Gurugram, Bengaluru",1-6 Yrs,"graphics
process automation
computer vision
automation
manufacturing process
analytical
artificial intelligence
model development"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,3-7 Yrs,"time series analysis
python
natural language processing
neural networks
machine learning
deep learning
data science
predictive modeling"
Data Scientist,Franklin templeton asset management (india)pvt,Bengaluru,3-7 Yrs,"computer vision
advanced analytics
data science
data management
machine learning
data processing
data integrity
python"
Data Scientist,Franklin templeton asset management (india)pvt,Pune,3-5 Yrs,"computer vision
deep learning
data analysis
artificial intelligence
machine learning
manager technology
agile
automotive"
Data Scientist,Franklin templeton asset management (india)pvt,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,"data science
natural language processing
gen ai
machine learning
python
machine
process
artificial intelligence"
Data Scientist,Franklin templeton asset management (india)pvt,"Hyderabad, Chennai, Bengaluru",5-10 Yrs,"data scientist
graphical
statistical
data modeling
modeling
data
statistics"
Data Scientist with GCP Cloud,Foreign MNC,"Hyderabad, Bengaluru, Delhi / NCR",6-11 Yrs,"data science
gcp
natural language processing
aws sagemaker
aiml
computer vision
machine learning
deep learning"
Data Scientist,Foreign MNC,Ahmedabad,5-10 Yrs,"data science
ai/ml modelling
artificial intelligence
ai/ml development
machine learning
data
intelligence
modeling"
Data Scientist,Foreign MNC,Mumbai,2-4 Yrs,"sas
application scorecard
collection scorecard
behaviour scorecard
python
sql
scorecard
collections"
Data Engineer/Data Scientist - Sql - Hyderabad,Foreign MNC,Hyderabad,4-9 Yrs,"advance sql
python
sql queries
spark
etl tool
machine learning
ml algorithms
sql"
Data Scientist,Foreign MNC,Gurugram,4-7 Yrs,"marketing analytics
marketing models
data science
website modelling
web technologies
analytics
data
modeling"
Data Scientist,Foreign MNC,Hybrid - Bengaluru,3-6 Yrs,"sagemaker
model deployment
python
data
deployment
aws sagemaker
deploying models"
Prompt Engineering Data Scientist,Foreign MNC,Bengaluru,2-7 Yrs,"computer science
training
health insurance
architecture
social science
analytical
artificial intelligence
healthcare"
Data Scientist,Foreign MNC,Remote,14-20 Yrs,"consulting
cloud
programming
data processing
transformers
deployment
architecting
management"
Data Scientist,Foreign MNC,Chennai,6-10 Yrs,"cloud computing
data analysis
data modeling
database design
agile
visual studio
data mining
sql"
Data Scientist,Foreign MNC,Remote,5-7 Yrs,"machine learning
data science
predictive modeling
r
scala
natural language processing
python
sql"
Forecasting-Data Scientist,Foreign MNC,Hyderabad,4-9 Yrs,"supply chain
cloud computing
data science
time series analysis
demand forecasting
consulting
machine learning
data collection"
Data Scientist,Foreign MNC,Faridabad,10-16 Yrs,"c++
data science
analytical
machine learning
cloud
microsoft
business intelligence
forecasting"
Data Scientist,Foreign MNC,Faridabad,6-12 Yrs,"c++
data science
analytical
machine learning
hadoop
microsoft
business intelligence
forecasting"
Data Scientist I,Foreign MNC,Noida,1-3 Yrs,"text mining
analytical
artificial intelligence
machine learning
data integrity
open source
data mining
sql"
Data Scientist,Foreign MNC,Pune,2-4 Yrs,"process optimization
machine learning
data collection
data processing
data integrity
manager quality control
analytics
sql"
Data Scientist,Foreign MNC,Hyderabad,4-8 Yrs,"health insurance
operations manager
coding
analytical
consulting
data processing
actuarial
analytics"
Data Scientist,Foreign MNC,Hyderabad,4-8 Yrs,"health insurance
coding
analytical
consulting
healthcare
data processing
actuarial
data quality"
Expert Data Scientist,Foreign MNC,Hybrid - Chennai,6-10 Yrs,"power bi
python libraries
tableau
python
bi
library
data"
Walkin Drive-F2F- 22/9 -Saturday-Data Scientist- Kolkata,Foreign MNC,Hybrid - Kolkata,6-11 Yrs,"data science
predictive modeling
natural language processing
machine learning
deep learning
modeling
science
predictive"
Data Scientist,Foreign MNC,Mohali,4-6 Yrs,"data science
hadoop
spark
data modeling
machine learning
sql
machine
modeling"
Data Scientist,Sanofi,Hyderabad,2-5 Yrs,"computer science
data analysis
business analysis
coding
agile
healthcare
informatica
analytics"
Data Scientist,Sanofi,Hyderabad,3-5 Yrs,"training
computer science
data science
diversity and inclusion
agile development
artificial intelligence
machine learning
healthcare"
Data Scientist,Sanofi,Hyderabad,3-6 Yrs,"telecom
development manager
consulting
machine learning
healthcare
data quality
data mining
sql"
Data Scientist,Sanofi,Hyderabad,5-9 Yrs,"health insurance
people development
coding
analytical
consulting
actuarial
healthcare analytics
project delivery"
Data Scientist,Sanofi,Hyderabad,3-8 Yrs,"health insurance
coding
analytical
consulting
healthcare
data processing
actuarial
data quality"
Data Scientist,Sanofi,Pune,2-6 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Data Scientist,Sanofi,Pune,2-6 Yrs,"algorithms
python
modeling
data analysis
data analytics
natural language processing
predictive
machine learning"
Hiring Data Scientist with Gen AI For Newt Global in Chennai,Sanofi,Chennai,6-11 Yrs,"hive
pyspark
nlp
big data
deep learning
machine learning
hiring
machine"
Data Scientist,Sanofi,"Hyderabad, Ahmedabad, Delhi / NCR",12-18 Yrs,"hadoop
spark
machine learning
aws
azure
data science
big data analytics
data analytics"
Data Scientist with Gen AI,Sanofi,Chennai,6-11 Yrs,"python
spark
data scientist
gen
artificial intelligence
data"
Data Scientist,Sanofi,Gurugram,5-7 Yrs,"data science
statistical modeling
predictive modeling
decision tree
advanced analytics
random forest
predictive
modeling"
Data Scientist AI/ML,Sanofi,Mumbai (All Areas),4-9 Yrs,"data analysis
data science
business consulting
aiml
reporting
monitoring
science
consulting"
Data Scientist,Sanofi,Pune,2-3 Yrs,"maven
data migration
data modeling
machine learning
olap
oltp
sql
python"
Media Mix Modelling-Data Scientist | Hrvite,Sanofi,Hyderabad,3-8 Yrs,"data analysis
analytical
social media
consulting
data integrity
regression analysis
business intelligence
crm"
Data Scientist,Sanofi,Pune,6-11 Yrs,"operational support
automation
data management
coding
healthcare
jira
distribution system
sql"
Data Scientist,Sanofi,Pune,2-6 Yrs,"operational support
automation
data management
coding
healthcare
jira
distribution system
sql"
Graduate Data Scientist,Sanofi,New Delhi,1-5 Yrs,"san
c++
prototype
system integration
machine learning
matlab
bioinformatics
sql"
Data Scientist,Sanofi,Pune,6-10 Yrs,"operational support
automation
data management
healthcare
jira
distribution system
financial services
sql"
Data Scientist -,Sanofi,Hyderabad,3-8 Yrs,"mining
computer vision
data analysis
gcp
machine learning
natural language processing
monitoring
sql"
Data Scientist,Sanofi,Pune,3-5 Yrs,"computer vision
deep learning
data analysis
artificial intelligence
machine learning
manager technology
agile
automotive"
Data Scientist,Thinkhat Software,Hyderabad,2-7 Yrs,"mrna
genomics
proteomics
dbms
bioinformatics
python
data"
Data Scientist I,Thinkhat Software,"Mumbai, Navi Mumbai",4-7 Yrs,"data analysis
automation
architecture
analytical
machine learning
data quality
information technology
analytics"
"Data Scientist """,Thinkhat Software,Chennai,4-8 Yrs,"tensorflow
nlp
aiml
python
ai
ml
natural language processing
artificial intelligence"
Hiring For Data Scientist - Immediate Joining,Thinkhat Software,Raipur,4-8 Yrs,"data science
artificial intelligence
postgresql
machine learning
power bi
bi
machine
hiring"
Urgent Hiring || Data Scientists || Gurgaon,Thinkhat Software,"Noida, Gurugram, Delhi / NCR",3-8 Yrs,"python
azure data factory
pyspark
azure cloud
data pipeline
pandas
ai
azure databricks"
Quantitative Analyst / Data Scientist,Thinkhat Software,Bengaluru,0-3 Yrs,"computer science
c++
data management
simulation
data collection
market data
analytics
sql"
Data Scientist,Thinkhat Software,Bengaluru,2-4 Yrs,"machine learning
predictive modeling
statistical modeling
predictive analytics
modeling
analytics
machine
data"
NLP Data Scientist!,Thinkhat Software,"Chennai, Bengaluru",5-10 Yrs,"nlp
transformer
pytorch/ keras/tensorflow
data
tensorflow
transformers
pytorch
natural language processing"
Data Architecture/Data Scientist,Thinkhat Software,Bengaluru,8-13 Yrs,"kafka
machine learning
spark
aws
python
probability distributions
azure
bigquery"
F2F Weekend Drive - Data Scientist - 14th Sept,Thinkhat Software,Hybrid - Bengaluru(Whitefield),6-11 Yrs,"data science
generative ai
natural language processing
machine learning
python
rag
deep learning
machine"
Data Scientist,Thinkhat Software,Hyderabad,5-10 Yrs,"azure
datascientist
machinelearning
machine learning
microsoft azure
data"
Data Scientist,Thinkhat Software,Bangalore Rural,5-8 Yrs,"nvidia ds
al
ml
ds
data"
Data Scientist,Thinkhat Software,"Bangalore Rural, Gurgaon/ Gurugram, Mumbai (All Areas)",2-5 Yrs,"natural language processing
machine learning
python
sql
logistic regression
predictive modeling
statistical modeling
deep learning"
Hybrid/WFH opportunity For Data Scientist.,Thinkhat Software,Remote,5-8 Yrs,"data science
predictive modeling
genai
natural language processing
tensorflow
pytorch
machine learning
deep learning"
Data Scientist,Thinkhat Software,Bengaluru,5-10 Yrs,"machine learning
python
sql
pyspark
data pipeline
statistical modeling
data
statistics"
Data Scientist,Thinkhat Software,"Hybrid - Kolkata, Chennai, Bengaluru",6-11 Yrs,"data scientist
artificial intelligence
cloud
machine learning
natural language processing
rag
llm
deep learning"
Data Scientist,Thinkhat Software,Bengaluru,6-10 Yrs,"power bi
aws cloud
snowflake
python
sql
azure cloud
bi
cloud"
Data Scientist!,Thinkhat Software,"Chennai, Bengaluru",5-10 Yrs,"tensorflow
ai/ml
nlp
python
pytorch
lang chain
llama
mistral"
Data Scientist,Thinkhat Software,Pune,5-8 Yrs,"generative ai
aws
deep learning
python
azure
machine learning
devops
artificial intelligence"
Data Scientist,Thinkhat Software,Pune,1-6 Yrs,"cad
automobile
polymer engineering
data
engineering
polymer"
Data Scientist,Bazaarvoice,Bengaluru,2-7 Yrs,"data science
matlab
python
scala
gcp
data mining
neural networks
machine learning"
Data Scientist - Clarion Electronics,Bazaarvoice,Pune,3-5 Yrs,"reinforcement learning
agile process
machine learning
deep learning
python
opencv
data
reinforcement"
Data Scientist - Automotive Seating,Bazaarvoice,Pune,3-8 Yrs,"python
azure
generative ai
machine learning
deep learning
sql
artificial intelligence
automotive"
Data Scientist,Bazaarvoice,"Hybrid - Pune, Chennai, Bengaluru",6-9 Yrs,"azure cloud
llm
artificial intelligence
cloud
intelligence
microsoft azure
data"
Data Scientist,Bazaarvoice,"Bengaluru, Mumbai (All Areas)",3-5 Yrs,"natural language processing
machine learning
python
sql
machine
process
data
processing"
Graph Data Scientist,Bazaarvoice,Bangalore/ Bengaluru,5-10 Yrs,"neo4j
ontology
graphql
knowledge graph
graph databases
dbms
graph
data"
Data Scientist,Bazaarvoice,Bengaluru,8-12 Yrs,"computer science
automation
product engineering
git
coding
social media
machine learning
data processing"
Data Scientist,Bazaarvoice,Bengaluru,2-5 Yrs,"computer science
basic
data analysis
data science
project management
deployment
mathematics
research"
Data Scientist I A - GBS,Bazaarvoice,Hyderabad,5-8 Yrs,"performance tuning
data analysis
wealth management
risk analytics
analytical
consulting
production manager
risk management"
Data Scientist-AI/ML,Bazaarvoice,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"coding
technical writing
neural networks
data manipulation
machine learning
cloud
data processing
aws"
Data Scientist-Reinforcement,Bazaarvoice,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-6 Yrs,"training
coding
technical writing
neural networks
data manipulation
machine learning
cloud
data processing"
Data Scientist,Bazaarvoice,Bengaluru,1-2 Yrs,"computer science
operations research
prototype
version control
formulation
machine learning
data processing
sql"
Data Scientist,Bazaarvoice,Bengaluru,3-7 Yrs,"supply chain
computer science
sas
analytical
data structures
data mining
business intelligence
team building"
AI / ML Engineer / Data scientist,Bazaarvoice,Chennai,3-5 Yrs,"artificial intelligence
kubeflow
tensorflow
data science
statistical modeling
mlflow
data mining
keras"
Data Scientist,Bazaarvoice,Bengaluru,8-13 Yrs,"data scientist
deep learning frameworks
ml/al
python
deep learning
al
ml
framework"
Hiring For Data Scientist(B2C/D2C) with Fast growing Fintech-Bangalore,Bazaarvoice,Bengaluru,5-10 Yrs,"python
tensorflow
aws bedrock
data wrangling
llama
ml algorithms
scikit-learn
pytorch"
Data Scientist - Gen AI,Bazaarvoice,Bengaluru,3-5 Yrs,"data science
machine learning
gen ai
deep learning
predictive modeling
nlp
statistical modeling
data"
Data Scientist,Bazaarvoice,Bengaluru,6-11 Yrs,"data science
r program
python
sql
deep learning
data
program
science"
Data Scientist,Bazaarvoice,Bengaluru,8-13 Yrs,"data science
aws
python
r
aws sagemaker
deep learning
r program
sql"
Data Scientist (Image & Visual Data Analysis),Bazaarvoice,"Hyderabad, Pune, Bengaluru",7-12 Yrs,"data science
visual
natural language processing
text mining
gensim
deep learning
pytorch
nltk"
F2F Weekend Drive - Data Scientist - 21st Sept - Kolkata,Ltimindtree,Hybrid - Kolkata,6-11 Yrs,"data science
generative ai
natural language processing
machine learning
python
rag
deep learning
drives"
Data Scientist,Ltimindtree,Remote,3-8 Yrs,"supervised learning
glm
unsupervised learning
machine learning
random forest
machine
supervision
data"
Data Scientist,Ltimindtree,Gurugram(Wazirabad),4-7 Yrs,"data science
data scientist
tensorflow
azure
data engineering
power bi
hadoop
data mining"
Urgently Hiring For Data Scientist - Globant,Ltimindtree,"Hybrid - Hyderabad, Pune",5-10 Yrs,"natural language processing
statistics
deep learning
azure
generative ai
gcp
transformers
bert"
Data Scientist and Web Developer - Python,Ltimindtree,"Dehradun, Sonipat/Sonepat, Gurugram",2-7 Yrs,"python
rest
scipy
firestore
natural language processing
plotly
numpy
machine learning"
Data Scientist,Ltimindtree,Gurugram(Cyber City),3-8 Yrs,"predictive modeling
logistic regression
data analysis
machine learning
random forest
chaid
sql queries
decision trees"
Data Scientist,Ltimindtree,Hybrid - Chennai,7-10 Yrs,"data science
artificial intelligence
machine learning
deep learning
python
machine
data
science"
Hiring Data Scientist - Amnet Digital,Ltimindtree,Hybrid - Hyderabad,4-7 Yrs,"data science
natural language processing
machine learning
deep learning
science
digital
process
hiring"
Data Scientist,Ltimindtree,Hyderabad,3-8 Yrs,"artificial intelligence
aiml
machine learning
python
tensorflow
sklearn
r
pytorch"
Data Scientist - R/Python,Ltimindtree,Delhi / NCR,2-3 Yrs,"data science
deep learning
r
nlp
data processing
mongodb
machine learning
python"
Data Scientist - Machine Learning / APICS,Ltimindtree,Hyderabad,3-8 Yrs,"machine learning
data science
r
apics
nlp
artificial intelligence
data management
python"
Data Scientist,Ltimindtree,Hybrid - Hyderabad,5-10 Yrs,"machine learning
kubeflow
azure
pytorch
natural language processing
docker
aws sagemaker
mlflow"
Data Scientist,Ltimindtree,Pune,2-5 Yrs,"image processing
natural language processing
machine learning
python
algorithms
jupyter notebook
clustering
deep learning"
Data Scientist,Ltimindtree,Ahmedabad(Prahlad Nagar),2-5 Yrs,"predictive modeling
time series analysis
probability
horse racing prediction
ml algorithms
h2o
sports prediction
optimization techniques"
Data Scientist - NLP / Artificial Intelligence,Ltimindtree,Gurugram,1-2 Yrs,"artificial intelligence
tensorflow
nlp
data scientist
machine learning
deep learning
python
intelligence"
Data Scientist,Ltimindtree,Gurugram,5-8 Yrs,"deep learning
nlp
power bi
data scientist
machine learning
cloud libraries
financial modelling
python"
Data Scientist III - Immediate Requirement,Ltimindtree,Gurugram,4-9 Yrs,"natural language processing
machine learning
deep learning
python
iii
languages
data
processing"
Data Scientist,Ltimindtree,Hyderabad,4-7 Yrs,"computer science
data analysis
nosql
data management
machine learning
data visualization
business intelligence
data mining"
Data Scientist - Internal Audit,Ltimindtree,Hyderabad,5-8 Yrs,"data analysis
manager internal audit
risk assessment
reconciliation
data structures
data quality
data integrity
continuous improvement"
Machine Learning & Data Scientist(s),Ltimindtree,Remote,5-10 Yrs,"computer science
image processing
data science
qaqc
machine learning
mathematics
management
remote sensing"
Data Scientist,"Redaptive, Inc",Pune,3-7 Yrs,"rest
python
github
scikit-learn
presentation skills
jupyter notebook
numpy
relational databases"
Data Scientist - AI/ML,"Redaptive, Inc",Chennai,3-8 Yrs,"deep learning
artificial intelligence
focus
programming
model development
natural language processing
python
aiml"
Data Scientist,"Redaptive, Inc","Jaipur, Delhi / NCR",4-9 Yrs,"python
big query
data scientist
google cloud platform
machine learning
forecasting
sql
datarobot"
Data Scientist (AI/ML)|| US Based MNC || Noida,"Redaptive, Inc",Hybrid - Noida,3-5 Yrs,"artificial intelligence
machine learning
python
aiml
machine
ml
data
intelligence"
Principal Data Scientist/Senior Data Scientist - NLP/Machine Learning,"Redaptive, Inc","Noida, Gurugram",0-5 Yrs,"machine learning
ann
deep learning
ai modelling
cnn
nlp
rnn
natural language processing"
Principal Data Scientist /Senior Data Scientist - NLP/Machine Learning,"Redaptive, Inc","Noida, Gurugram, Delhi / NCR",0-5 Yrs,"machine learning
data science
predictive modeling
ann
data modelling
cnn
conceptual modeling
nlp"
